menuo;kiekis;sumoketa_suma;parkavimosi_laikas_minutemis
lapkr-17;3;8,46;276
spal-17;34;23,38;1608
rugs-17;85;77,7;4380
rugp-17;143;161,84;9600
liep-17;138;163;9660
birž-17;112;142,84;7164
geg-17;131;169,58;7608
bal-17;48;57,66;2676
kov-17;17;11,82;768
saus-17;2;0,42;36
lapkr-16;2;1,2;120
spal-16;19;15,54;1200
rugs-16;58;45,18;3516
rugp-16;73;66,96;4812
liep-16;55;35,28;2844
birž-16;83;70,38;4968
geg-16;90;75,12;5076
bal-16;39;23,64;1488
kov-16;1;0,12;24
vas-16;1;7,02;468
gruod-15;6;1,68;144
lapkr-15;2;1,86;72
spal-15;22;9,42;792
rugs-15;32;32,94;2448
rugp-15;71;56,28;3612
liep-15;56;41,58;3252
birž-15;57;38,52;3096
geg-15;33;47,88;3036
bal-15;9;16,5;852
kov-15;2;1,98;132
saus-70;192;238,68;17412
